id,labnr,bp,std,cal_bp,cal_std,delta_c13,source_database,lab_name,material,species,feature,feature_type,site,country,lat,lng,site_type,periods,typochronological_units,ecochronological_units,reference
65794,Mc-710,4950,100,,,0,"","",,,,open air,El Ouarr,ML,28.33,-11.33,open air,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66294,Gif-6184,3490,90,,,0,"","",,,,,Abri Rihane,MA,34.48,-1.87,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2008""}, {""reference"": ""CalPal2022""}]"
66295,Gif-6490,3900,90,,,0,"","",,,,,Abri Rihane,MA,34.48,-1.87,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2009""}, {""reference"": ""CalPal2022""}]"
66296,GrO-1188,1380,60,,,0,"","",,,,,Acusa,MA,28,-15.68,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66297,GrO-1197,1520,45,,,0,"","",,,,,Acusa,MA,28,-15.68,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66298,Hv-7066,2060,55,,,0,"","",,,,,Agadir km45,MA,31.95,-5.87,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66299,Gif-3260,4300,110,,,0,"","",,,,,Akhful,MA,26.23,-14.42,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66300,CNA-1162,893,52,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66301,CNA-1163,4278,50,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66302,CNA-1164,4296,39,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66303,CNA-1165,5147,55,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66304,CSIC-2181,4582,45,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66305,CSIC-2182,4303,46,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66306,CSIC-2232,4476,33,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66307,Gif-3259,2000,90,,,0,"","",,,,,Aueital,MA,26.83,-13.48,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66308,CSIC-187,1800,60,,,0,"","",,,,,Barranco Hondo,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66309,CSIC-188,1970,60,,,0,"","",,,,,Barranco Hondo,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66310,CSIC-199,2490,60,,,0,"","",,,,,Barranco Hondo,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66311,Poz-40743,2780,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,"[{""periode"": ""Protohistoric""}]","[{""typochronological_unit"": ""Protohistoric""}]","[{""ecochronological_unit"": ""Protohistoric""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66312,Poz-40744,2725,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,"[{""periode"": ""Protohistoric""}]","[{""typochronological_unit"": ""Protohistoric""}]","[{""ecochronological_unit"": ""Protohistoric""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66313,Poz-40749,4450,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66314,Poz-40750,4435,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66315,Gif-6491,3820,90,,,0,"","",,,,,Bou Gennouna,MA,34.52,-1.83,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2010""}, {""reference"": ""CalPal2022""}]"
66316,Gif-6492,3400,80,,,0,"","",charcoal,,,,Bou Gennouna,MA,34.52,-1.83,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2006""}, {""reference"": ""CalPal2022""}]"
66317,Gif-6880,3400,80,,,0,"","",charcoal,,,Rock shelter,Bou Guennouna,MA,34.52,-1.83,Rock shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Wengler and Vernet 1992""}, {""reference"": ""CalPal2022""}]"
66318,KIA-31006,3755,35,,,-23.17,"","",charcoal,,,,Bouchih 1,MA,,,,"[{""periode"": ""Bronze Age""}]","[{""typochronological_unit"": ""Bronze Age""}]","[{""ecochronological_unit"": ""Bronze Age""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66319,KIA-31000,915,30,,,-21.17,"","",charcoal,,,,Bouchih 2,MA,,,,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66320,KIA-31005,930,25,,,-23.56,"","",charcoal,,,,Bouchih 2,MA,,,,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66321,KIA-31009,940,20,,,-22.9,"","",charcoal,,,,Bouchih 2,MA,,,,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66322,KIA-30746/2,3230,30,,,0,"","",charcoal,,,,Bouchih A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66323,KN-5818,3039,59,,,0,"","",charcoal,,,,Bouchih A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66324,KIA-30742,3765,30,,,0,"","",charcoal,,,,Bouchih B,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66325,Gif-2497,3080,110,,,0,"","",,,,,Cap Tafarit,MA,20.12,-16.25,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66326,Ly-345,6130,140,,,0,"","",,,,,Cap Tafarit,MA,20.12,-16.25,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66327,Gif-6497,11290,160,,,0,"","",,,,,Chaaba Bayda,MA,34.55,-1.85,,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66328,Gif-6828,9560,100,,,0,"","",,,,,Chaaba Bayda,MA,34.55,-1.85,,"[{""periode"": ""Epipalaeolithic""}]","[{""typochronological_unit"": ""Epipalaeolithic""}]","[{""ecochronological_unit"": ""Epipalaeolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66329,Gif-6187,11200,160,,,0,"","",ostrich egg,Struthio,,,Chaâba Bayda,MA,34.55,-1.85,,"[{""periode"": ""Epipalaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Epipalaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Epipalaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Wengler and Vernet 1992""}, {""reference"": ""CalPal2022""}]"
66330,Alg-40,7760,190,,,0,"","",shell,,,,Chemin de Kristel,MA,35.83,0,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Goetz 1967""}, {""reference"": ""CalPal2022""}]"
66331,CSIC-195,1480,60,,,0,"","",,,,,Chipude,MA,28.12,-17.25,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66332,Gif-463,6680,300,,,0,"","",charcoal,,,,Cimetière des Escargots,MA,35.72,0,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Grébénart 1970""}, {""reference"": ""CalPal2022""}]"
66333,Beta-318454,3260,30,,,0,"","",,,,cave,Cueva de El Hafa II,MA,,,cave,"[{""periode"": ""Protohistoric""}]","[{""typochronological_unit"": ""Protohistoric""}]","[{""ecochronological_unit"": ""Protohistoric""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66334,GRO-1191,1665,60,,,0,"","",,,,,Cuevas del Rey,MA,28,-15.69,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66335,Hd-28981,6031,23,,,-13.2,"","",bone,Homo sapiens,,open air,DEK,MA,36.03,9.43,open air,[],[],[],"[{""reference"": ""Muluzzani 2016""}, {""reference"": ""CalPal2022""}]"
66336,MC-828,6750,200,,,0,"","",charcoal,Animalia,,open air,DEK,MA,36.03,9.43,open air,[],[],[],"[{""reference"": ""Muluzzani 2016""}, {""reference"": ""CalPal2022""}]"
66337,MC-833,6150,100,,,0,"","",charcoal,,,open air,DEK,MA,36.03,9.43,open air,[],[],[],"[{""reference"": ""Muluzzani 2016""}, {""reference"": ""CalPal2022""}]"
66338,MC-834,6100,100,,,0,"","",charcoal,,,open air,DEK,MA,36.03,9.43,open air,[],[],[],"[{""reference"": ""Muluzzani 2016""}, {""reference"": ""CalPal2022""}]"
66339,Gak-8066,1750,80,,,0,"","",,,,,Don Gaspar,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66340,Gak-8067,1390,110,,,0,"","",,,,,Don Gaspar,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66341,Gif-3510,4850,140,,,0,"","",,,,,Edjaila,MA,21.75,-16.42,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66342,Gif-3514,4440,110,,,0,"","",,,,,Edjaila,MA,21.75,-16.42,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66343,Gif-3461,3020,110,,,0,"","",,,,,EdjailaII,MA,21.75,-16.42,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66344,Gif-3462,3310,120,,,0,"","",,,,,EdjailaII,MA,21.75,-16.42,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66345,GrN-15762,1950,60,,,0,"","",,,,,El Bebedero,MA,28.37,-16.51,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66346,GrN-15804,1840,30,,,0,"","",,,,,El Bebedero,MA,28.37,-16.51,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66347,Rabet-137,5516,146,,,0,"","",,,,,El Camra,MA,35.13,-2.44,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66348,Gif-5519,5400,290,,,0,"","",bone,,,cave,El Harhoura I,MA,33.9167,-6.9167,cave,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66349,UBA-8084,5552,36,,,0,"","",bone,,,cave,El Harhoura I,MA,33.9167,-6.9167,cave,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66350,Ly-1601,5800,150,,,0,"","",,,,,El Haroura II,MA,33.92,-6.95,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66351,Gif-6831,1220,50,,,0,"","",charcoal,,,,El Hériga,MA,,,,"[{""periode"": ""Historical""}]","[{""typochronological_unit"": ""Historical""}]","[{""ecochronological_unit"": ""Historical""}]","[{""reference"": ""Wengler 1983-84a, Wengler 1987-88, Wengler and Vernet 1992""}, {""reference"": ""CalPal2022""}]"
66352,Gif-6832,1430,50,,,0,"","",charcoal,,,,El Hériga,MA,,,,"[{""periode"": ""Historical""}]","[{""typochronological_unit"": ""Historical""}]","[{""ecochronological_unit"": ""Historical""}]","[{""reference"": ""Wengler 1983-84a, Wengler 1987-88, Wengler and Vernet 1992""}, {""reference"": ""CalPal2022""}]"
66353,Gak-8057,1740,90,,,0,"","",,,,,El Hormiguero,MA,28,-15.5,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66354,Auckland W-1518,4300,80,,,0,"","",,,,necropol,El Kiffen,MA,33.33,-7.6,necropol,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Bailloud and Mieg de Boofzheim 1964""}, {""reference"": ""CalPal2022""}]"
66355,nd-27,3100,200,,,0,"","",,,,necropol,El Kiffen,MA,33.33,-7.6,necropol,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66356,W-1518,4300,80,,,0,"","",bone,,,necropol,El Kiffen,MA,33.33,-7.6,necropol,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66357,Gif-3013,3550,120,,,0,"","",shells,,,open air,El Ouarr,ML,28.33,-11.33,open air,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66358,Gak-8055,1470,110,,,0,"","",,,,,El Pajar,MA,28,-15.5,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66359,KIA-30744,2580,30,,,0,"","",charcoal,,,,El Rhama A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66360,KIA-30743,2095,30,,,0,"","",charcoal,,,,El Rhama B,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66361,KIA-36742,5584,26,,,0,"","",bone,Sus,,Open air site,El Zafrin,MA,35.1446,-2.432,Open air site,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Linstädter 2016""}, {""reference"": ""CalPal2022""}]"
66362,KIA-36743,5450,27,,,0,"","",bone,Sus,,Open air site,El Zafrin,MA,35.1446,-2.432,Open air site,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Linstädter 2016""}, {""reference"": ""CalPal2022""}]"
66363,KIA-30740,5920,35,,,0,"","",charcoal,,,,FAT A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66364,KIA-30740/2,6065,30,,,0,"","",humic,,,,FAT A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66365,KIA-30745,5805,35,,,0,"","",charcoal,,,,FAT A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66366,KIA-30745/2,5925,35,,,0,"","",humic,,,,FAT A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66367,KN-5819,2994,35,,,0,"","",charcoal,,,,FAT A,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66368,KN-5835,3570,35,,,-23.14,"","",charcoal,,,,FAT C,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66369,KIA-30747,3670,35,,,0,"","",charcoal,,,,FAT H,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66370,KIA-30747/2,3810,35,,,0,"","",humic,,,,FAT H,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66371,KIA-30748,2170,20,,,0,"","",charcoal,,,,FAT H,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66372,KN-5836,1519,52,,,-22.79,"","",charcoal,,,,FAT H,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66373,KIA-30741,2145,25,,,0,"","",charcoal,,,,FAT J,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66374,KN-5820,2070,20,,,0,"","",charcoal,,,,FAT J,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66375,OxA-11321,9470,55,,,-24,"","",charcoal,Phillyrea,,,Ghar Cahal,MA,35.86,-5.42,,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""CalPal2022""}]"
66376,OxA-11322,11180,65,,,-25.5,"","",charcoal,Phillyrea,,,Ghar Cahal,MA,35.86,-5.42,,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66377,OxA-11323,11125,65,,,-24.9,"","",charcoal,Phillyrea,,,Ghar Cahal,MA,35.86,-5.42,,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66378,Beta-316505,5490,40,,,0,"","",seed,Vicia faba,,cave,Grotte de Él Khril B/Khil B,MA,35.8,-5.9167,cave,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66379,Rabat-119,5720,114,,,0,"","",,,,cave,Grotte de Él Khril C/Khil C,MA,35.8,-5.9167,cave,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66380,nd-158,11340,220,,,0,"","",,,,,Grotte de Madeleine,MA,34.17,0,,"[{""periode"": ""Epipalaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Epipalaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Epipalaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Nehren 1992""}, {""reference"": ""CalPal2022""}]"
66381,UQ-1601,5800,150,,,0,"","",shell,,,,Grotte de'El Harhoura,MA,33.8749,-6.8322,,"[{""periode"": ""Neolithic ?""}]","[{""typochronological_unit"": ""Neolithic ?""}]","[{""ecochronological_unit"": ""Neolithic ?""}]","[{""reference"": ""van Willigen 2006""}, {""reference"": ""CalPal2022""}]"
66382,Gif-6186,4600,60,,,0,"","",,,,,Grotte d'El Heriga,MA,34.33,-2.01,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2006""}, {""reference"": ""CalPal2022""}]"
66383,Gif-2577,12500,170,,,-24.7,"","",bone,,,cave,Grotte des Contrebandiers,MA,33.9167,-6.9667,cave,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66384,Gif-2579,14460,200,,,0,"","",bone,,,cave,Grotte des Contrebandiers,MA,33.9167,-6.9667,cave,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66385,Gif-2580,12320,600,,,-30.8,"","",bone,,,cave,Grotte des Contrebandiers,MA,33.9167,-6.9667,cave,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66386,Gif-2583,12170,160,,,0,"","",bone,,,cave,Grotte des Contrebandiers,MA,33.9167,-6.9667,cave,"[{""periode"": ""Palaeolithic""}, {""periode"": ""Iberomaurusian""}]","[{""typochronological_unit"": ""Palaeolithic""}, {""typochronological_unit"": ""Iberomaurusian""}]","[{""ecochronological_unit"": ""Palaeolithic""}, {""ecochronological_unit"": ""Iberomaurusian""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66387,GifA-92332,5630,80,,,0,"","",charcoal,,,cave,Grotte des Idoles,MA,35.75,-5.95,cave,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66388,Ly-10612,1505,35,,,0,"","",bone,,,cave,Grotte des Idoles,MA,35.75,-5.95,cave,"[{""periode"": ""Pre-Islamic""}]","[{""typochronological_unit"": ""Pre-Islamic""}]","[{""ecochronological_unit"": ""Pre-Islamic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66389,Gif-6185,5190,100,,,0,"","",charcoal,,,,Grotte du Rhafas,MA,34.52,-1.83,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2006""}, {""reference"": ""CalPal2022""}]"
66390,SUA-211,5480,90,,,0,"","",,,,,Guli,MA,16.02,32.58,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66391,GRO-1189,1410,60,,,0,"","",,,,,Guyadeque,MA,28,-15.5,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66392,KIA-38790,3700,40,,,-22.34,"","",charcoal,,,,Hajra,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66393,KIA-38791,3665,30,,,-23.85,"","",charcoal,,,,Hajra,MA,,,,[],[],[],"[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66394,Ly-2149,5980,210,,,0,"","",bone,Homo sapiens,,,Harhoura 1,MA,33.95,-6.9333,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Daugas et al. 1989""}, {""reference"": ""CalPal2022""}]"
66395,Bln-4756,10570,177,,,0,"","",shell,,,,Hassi Ouenzga,MA,34.7773,-3.2455,,"[{""periode"": ""Epipalaeolithic""}]","[{""typochronological_unit"": ""Epipalaeolithic""}]","[{""ecochronological_unit"": ""Epipalaeolithic""}]","[{""reference"": ""Linstädter 2016""}, {""reference"": ""CalPal2022""}]"
66396,Bln-4912,760,47,,,0,"","",charcoal,,,,Hassi Ouenzga,MA,34.7773,-3.2455,,"[{""periode"": ""Arabian""}]","[{""typochronological_unit"": ""Arabian""}]","[{""ecochronological_unit"": ""Arabian""}]","[{""reference"": ""Linstädter 2004""}, {""reference"": ""CalPal2022""}]"
