"Option","OptionDescription"
"yes","Date’s phase definition aligns with that of excavator"
"no","Date’s phase definition assigned by grouping all radiocarbon dates at site within 200-year time windows, and then identifying dates with the same cultural and economic associations"
"unique","Date was the only radiocarbon date from the site at the time of entry"
