"ID","Date_ID","BibTexKey","ContentType"
140,"MC-328","Roubet.1971Def","D"
141,"MC-328","Grebenart.1970Probl","D"
144,"ALG-33","VernetAumassip.1992Inv14C","D"
145,"ALG-33","LubellSheppard.1991Maghreb","D"
146,"ALG-33","Close.1980CurResRecI","D"
147,"ALG-33","RahmouniRoussillot.1972AlgiersII","D"
148,"ALG-33","Roubet.1971Def","D"
149,"ALG-33","Grebenart.1970ProbNeoOul","C; Z"
152,"MC-285","CalPal","D"
153,"MC-285","RoubetAmara.2016","D"
154,"MC-285","Rahmani.2004NouvChron","D"
155,"MC-285","VernetAumassip.1992Inv14C","D"
156,"MC-285","LubellSheppard.1991Maghreb","D"
157,"MC-285","Close.1980CurResRecI","D"
158,"MC-285","PosnanskyMcIntosh.1976NewRadDa","D"
159,"MC-285","Grebenart.1976CapsContrib","D"
160,"MC-285","Camps.1974TablChron2","D"
161,"MC-285","ThommeretThommeret.1973MRMIV","D"
162,"MC-285","CampsDelibrias.1973ChroCiv","D"
163,"MC-285","Grebenart.1972CapsienPhD","D"
166,"ALG-18","Rahmani.2004NouvChron","D"
167,"ALG-18","VernetAumassip.1992Inv14C","D"
168,"ALG-18","LubellSheppard.1991Maghreb","D"
169,"ALG-18","Close.1980CurResRecI","D"
170,"ALG-18","Grebenart.1976CapsContrib","D"
171,"ALG-18","Camps.1974TablChron2","D"
172,"ALG-18","CampsDelibrias.1973ChroCiv","D"
173,"ALG-18","Grebenart.1972CapsienPhD","D"
174,"ALG-18","RahmouniRoussillot.1970AlgiersI","D"
177,"ALG-20","Rahmani.2004NouvChron","D"
178,"ALG-20","VernetAumassip.1992Inv14C","D"
179,"ALG-20","LubellSheppard.1991Maghreb","D"
180,"ALG-20","Close.1980CurResRecI","D"
181,"ALG-20","Grebenart.1976CapsContrib","D"
182,"ALG-20","Camps.1974TablChron2","D"
183,"ALG-20","CampsDelibrias.1973ChroCiv","D"
184,"ALG-20","Grebenart.1972CapsienPhD","D"
185,"ALG-20","RahmouniRoussillot.1970AlgiersI","D"
188,"MC-208","BenMoussa.2008Ramma","D"
189,"MC-208","LubellSheppard.1991Maghreb","D"
190,"MC-208","Camps.1974TablChron2","D"
191,"MC-208","CampsDelibrias.1973ChroCiv","D"
192,"MC-208","Willett.1971SurvRec","D"
193,"MC-208","ThommeretThommeret.1969MIII","D"
194,"MC-208","Roubet.1969IntDatNeoCap","D"
195,"MC-208","CampsDelibrias.1968ChroAbs","D"
196,"MC-208","Camps.1968TablChronPRec","D"
199,"ALG-10","Jousse.2017AtlasMammal","D"
200,"ALG-10","BenMoussa.2008Ramma","D"
201,"ALG-10","LubellSheppard.1991Maghreb","D"
202,"ALG-10","Camps.1974TablChron2","D"
203,"ALG-10","CampsDelibrias.1973ChroCiv","D"
204,"ALG-10","Willett.1971SurvRec","D"
205,"ALG-10","Roubet.1971Def","D"
206,"ALG-10","Roubet.1969IntDatNeoCap","D"
207,"ALG-10","RahmouniRoussillot.1970AlgiersI","D"
208,"ALG-10","CampsDelibrias.1968ChroAbs","D"
211,"ALG-11","Jousse.2017AtlasMammal","D"
212,"ALG-11","BenMoussa.2008Ramma","D"
213,"ALG-11","LubellSheppard.1991Maghreb","D"
214,"ALG-11","Camps.1974TablChron2","D"
215,"ALG-11","CampsDelibrias.1973ChroCiv","D"
216,"ALG-11","Roubet.1971Def","D"
217,"ALG-11","RahmouniRoussillot.1970AlgiersI","D"
218,"ALG-11","Roubet.1969IntDatNeoCap","D"
221,"ALG-39","BenMoussa.2008Ramma","D"
222,"ALG-39","LubellSheppard.1991Maghreb","D"
223,"ALG-39","Camps.1974TablChron2","D"
224,"ALG-39","CampsDelibrias.1973ChroCiv","D"
225,"ALG-39","RahmouniRoussillot.1972AlgiersII","D"
226,"ALG-39","Roubet.1971Def","D"
227,"ALG-39","Dedieu.1965GroDjeZaba","C; Z"
230,"Gif-1714","CalPal","D"
231,"Gif-1714","PerrinDachy.2020Press","D"
232,"Gif-1714","Gehlen.2010NeTPSE","D"
233,"Gif-1714","Linstadter.2008Transit","D"
234,"Gif-1714","Rahmani.2004NouvChron","D"
235,"Gif-1714","Rahmani.2004Techn","D"
236,"Gif-1714","LubellSheppard.1991Maghreb","D"
237,"Gif-1714","Close.1980CurResRecI","D"
238,"Gif-1714","Grebenart.1976CapsContrib","D"
239,"Gif-1714","DelibriasGuillier.1974GIFVIII","D"
240,"Gif-1714","Camps.1974TablChron2","D"
241,"Gif-1714","Grebenart.1972CapsienPhD","D"
244,"Gif-1715","CalPal","D"
245,"Gif-1715","PerrinDachy.2020Press","D"
246,"Gif-1715","Gehlen.2010NeTPSE","D"
247,"Gif-1715","Linstadter.2008Transit","D"
248,"Gif-1715","Rahmani.2004NouvChron","D"
249,"Gif-1715","Rahmani.2004Techn","D"
250,"Gif-1715","LubellSheppard.1991Maghreb","D"
251,"Gif-1715","Close.1980CurResRecI","D"
252,"Gif-1715","Grebenart.1976CapsContrib","D"
253,"Gif-1715","DelibriasGuillier.1974GIFVIII","D"
254,"Gif-1715","Camps.1974TablChron2","D"
255,"Gif-1715","Grebenart.1972CapsienPhD","D"
258,"Gif-1896","CalPal","D"
259,"Gif-1896","PerrinDachy.2020Press","D"
260,"Gif-1896","Gehlen.2010NeTPSE","D"
261,"Gif-1896","Linstadter.2008Transit","D"
262,"Gif-1896","Rahmani.2004NouvChron","D"
263,"Gif-1896","Rahmani.2004Techn","D"
264,"Gif-1896","LubellSheppard.1991Maghreb","D"
265,"Gif-1896","Close.1980CurResRecI","D"
266,"Gif-1896","Grebenart.1976CapsContrib","D"
267,"Gif-1896","DelibriasGuillier.1974GIFVIII","D"
268,"Gif-1896","Camps.1974TablChron2","D"
269,"Gif-1896","CampsDelibrias.1973ChroCiv","D"
270,"Gif-1896","Grebenart.1972CapsienPhD","D"
273,"Gif-1897","CalPal","D"
274,"Gif-1897","PerrinDachy.2020Press","D"
275,"Gif-1897","Gehlen.2010NeTPSE","D"
276,"Gif-1897","Linstadter.2008Transit","D"
277,"Gif-1897","Rahmani.2004NouvChron","D"
278,"Gif-1897","Rahmani.2004Techn","D"
279,"Gif-1897","LubellSheppard.1991Maghreb","D"
280,"Gif-1897","Close.1980CurResRecI","D"
281,"Gif-1897","Grebenart.1976CapsContrib","D"
282,"Gif-1897","DelibriasGuillier.1974GIFVIII","D"
283,"Gif-1897","Camps.1974TablChron2","D"
284,"Gif-1897","CampsDelibrias.1973ChroCiv","D"
285,"Gif-1897","Grebenart.1972CapsienPhD","D"
288,"Gif-1898","CalPal","D"
289,"Gif-1898","PerrinDachy.2020Press","D"
290,"Gif-1898","Gehlen.2010NeTPSE","D"
291,"Gif-1898","Linstadter.2008Transit","D"
292,"Gif-1898","Rahmani.2004NouvChron","D"
293,"Gif-1898","Rahmani.2004Techn","D"
294,"Gif-1898","LubellSheppard.1991Maghreb","D"
295,"Gif-1898","Close.1980CurResRecI","D"
296,"Gif-1898","Grebenart.1976CapsContrib","D"
297,"Gif-1898","DelibriasGuillier.1974GIFVIII","D"
298,"Gif-1898","Camps.1974TablChron2","D"
299,"Gif-1898","CampsDelibrias.1973ChroCiv","D"
300,"Gif-1898","Grebenart.1972CapsienPhD","D"
303,"Gif-1901","CalPal","D"
304,"Gif-1901","PerrinDachy.2020Press","D"
305,"Gif-1901","Gehlen.2010NeTPSE","D"
306,"Gif-1901","Linstadter.2008Transit","D"
307,"Gif-1901","Rahmani.2004NouvChron","D"
308,"Gif-1901","Rahmani.2004Techn","D"
309,"Gif-1901","LubellSheppard.1991Maghreb","D"
310,"Gif-1901","Close.1980CurResRecI","D"
311,"Gif-1901","Grebenart.1976CapsContrib","D"
312,"Gif-1901","DelibriasGuillier.1974GIFVIII","D"
313,"Gif-1901","Camps.1974TablChron2","D"
314,"Gif-1901","CampsDelibrias.1973ChroCiv","D"
315,"Gif-1901","Grebenart.1972CapsienPhD","D"
318,"Gif-1902","CalPal","D"
319,"Gif-1902","PerrinDachy.2020Press","D"
320,"Gif-1902","Gehlen.2010NeTPSE","D"
